CAPS categ.,Risk Group,Scientific name,Common Name,Model,Predicted pest impact in US,Prob pest will cause high impacts,Prob pest will cause mod impacts,Prob pest will cause low impacts,Primary host(s),"Other important hosts (alternate, secondary, etc)",States at risk,Non-plant impacts?,Date completed
,I,Argyrotaenia ljungiana ,Leaf roller,Arthropod,Low,5.2%,28.1%,66.7%,"apple, grape",,Most states,No,9/19/2019
,I,Blosyrus asellus,Rough sweet potato weevil,Arthropod,Low,0.1%,0.8%,99.1%,sweet potatoes,,"Washington, Oregon, California, Arizona, Texas, Louisiana, Alabama, Mississippi, Georgia, Florida, South Carolina",No,3/11/2015
,I,Brachyplatys subaeneus,Black bean bug,Arthropod,Low,4.0%,23.6%,72.3%,beans & other species in Fabaceae,,"Most states according to hardiness zone distribution, although researchers do not believe it will establish in temperate broadleaf forests of North America. ",No,12/5/2017
,I,Cacopsylla pyrisuga,Pear sucker,Arthropod,Low,1.9%,13.4%,84.7%,pear,,Anywhere pear trees are grown,No,9/6/2019
,I,Candidatus Phytoplasma cynodontis',Bermuda grass white leaf,Pathogen,Low,1.5%,18.6%,79.8%,Bermudagrass and date plum,"Also, coconut, ivy gord, and some other grasses or weeds","44 states and recently mainly grown in Oklahoma, California, New Mexico, and Oregon",No,9/9/2015
,I,‘Candidatus Phytoplasma oryzae’,rice yellow dwarf disease,Pathogen,Low,1.0%,18.0%,81.0%,,,,No,7/15/2022
,I,Candidatus Phytoplasma pini',Pine witches' broom,Pathogen,Low,0.1%,2.2%,97.6%,"pines (Pinus spp., particularly Aleppo pine (Pinus halepensis) and Scot's pine (Pinus sylvestris))",Pinus spp. along with few other trees,"All states for pines, but for particular hosts, New England and Midwest regions as well as California.",No,7/10/2015
,I,Capsicum chlorosis virus,CaCV,Pathogen,Low,0.0%,3.0%,97.0%,,,,No,7/14/2022
,I,Cercospora cocciniae ,,Pathogen,Low,0.0%,0.1%,99.0%,,,,No,6/7/2024
,I,Chlorophorus annularis,Bamboo longhorned beetle,Arthropod,Low,1.6%,11.2%,87.2%,"bamboo (may also infest sugar cane, apple, citrus, cotton, grape)",,Most states,No,9/12/2018
,I,Chlorophorus strobilicola,Pine cone cerambycid,Arthropod,Low,1.1%,8.0%,90.9%,pine,,"Unknown - the only known host, Pinus roxburghii, is not known to occur in the US.",No,9/12/2018
,I,Chrysomyxa abietis,Spruce needle rust,Pathogen,Low,0.0%,2.0%,98.0%,,,,No,6/6/2023
,I,Coleophora perplexella,case-bearer moth,Arthropod,Low,2.0%,15.0%,82.0%,,,,No,5/8/2024
