Source,Qualitative Impact Rating,Pest Scientific Name,Pest Common Name,Pest Type,Kingdom,Phylum/Div.,Class,Order,Family,Genus,Species,Subspecies,Authority
OPEP Non-Candidate Low Impact Pest (determined 11/14/24),Low,Sphaceloma perseae,,Arthropod,Animalia,Arthropoda,Insecta,Thysanoptera,Phlaeothripidae,Haplothrips,nigricornis,,Bagnall
PPQ Program Pest (as of 11/6/24),High,Striga asiatica,Witchweed,Noxious Weed,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Striga,asiatica,,(L.) Kuntze
USDA PPQ Select Agents,High,Synchytrium endobioticum,,Plant Disease,Fungi,Chytridiomycota,Chytridiomycetes,Chytridiales,Synchytriaceae,Synchytrium,endobioticum,,(Schilb.) Percival
OPEP Non-Candidate Low Impact Pest (determined 11/14/24),Low,Tenuipalpus sarcophilus,,Arthropod,Animalia,Arthropoda,Arachnida,Trombidiformes,Tenuipalpidae,Tenuipalpus,sarcophilus,,Welbourn and Beard in Welbourn et al.
PPQ Program Pest (as of 11/6/24),High,Tilletia indica,Karnal bunt,Plant Disease,Fungi,Basidiomycota,Exobasidiomycetes,Tilletiales,Tilletiaceae,Tilletia,indica,,Mitra
PPQ Program Pest (as of 11/6/24),High,Tobamovirus Cucumber green mottle mosaic virus,Cucumber green mottle mosaic virus (CGMMV) ,Plant Disease,Viruses,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Tobamovirus,Cucumber green mottle mosaic virus,,
PPQ Program Pest (as of 11/6/24),High,Tobamovirus Cucumber green mottle mosaic virus,Cucumber green mottle mosaic virus (CGMMV) ,Plant Disease,Viruses,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Tobamovirus,Cucumber green mottle mosaic virus,,
PPQ Program Pest (as of 11/6/24),High,Tobamovirus Watermelon green mottle mosaic virus,Watermelon green mottle mosaic virus (WGMMV),Plant Disease,Viruses,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Tobamovirus,Watermelon green mottle mosaic virus,,
PPQ Program Pest (as of 11/6/24),High,Tobamovirus Watermelon green mottle mosaic virus,Watermelon green mottle mosaic virus (WGMMV),Plant Disease,Viruses,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Tobamovirus,Watermelon green mottle mosaic virus,,
CAPS National Priority Mollusk List (as of 10/2/24),High,Veronicella,Leatherleaf slugs,Mollusk,Animalia,Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Veronicella,,,"Blainville, 1817"
OPEP Non-Candidate Low Impact Pest (determined 11/14/24),Low,Vryburgia viator,,Arthropod,Animalia,Arthropoda,Insecta,Hemiptera,Pseudococcidae,Vryburgia,viator,,(De Lotto)
PPQ Program Pest (as of 11/6/24),High,Xanthomonas albilineans,leaf scald,Plant Disease,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,albilineans,,"(Ashby, 1929) Dowson, 1943"
PPQ Program Pest (as of 11/6/24),High,Xanthomonas albilineans,leaf scald,Plant Disease,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,albilineans,,"(Ashby, 1929) Dowson, 1943"
PPQ Program Pest (as of 11/6/24),High,Xanthomonas axonopodis pv. vasculorum,Gummosis,Plant Disease,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,axonopodis,pv. vasculorum,"(Cobb) Vauterin, Hoste, Kersters & Swings"
PPQ Program Pest (as of 11/6/24),High,Xanthomonas axonopodis pv. vasculorum,Gummosis,Plant Disease,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,axonopodis,pv. vasculorum,"(Cobb) Vauterin, Hoste, Kersters & Swings"
PPQ Program Pest (as of 11/6/24),High,Xanthomonas citri citri,Citrus canker ,Plant Disease,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,citri,citri,"(ex Hasse, 1915) Gabriel et al."
USDA PPQ Select Agents,High,Xanthomonas oryzae,,Plant Disease,Bacteria,Pseudomonadota,Gammaproteobacteria,"	Xanthomonadales",Xanthomonadaceae,Xanthomonas,oryzae,,"(Ishiyama 1922) Swings et al., 1990"
PPQ Program Pest (as of 11/6/24),High,Zeugodacus,,Arthropod,Animalia,Arthropoda,Insecta,Diptera,Tephritidae,Zeugodacus,,,
